gene,hub_score,eigenvector,out_degree,k562_chronos,selective_score,is_selectively_essential,drug,n_drugs,evidence_score
PPP1CB,0.34194401902185567,0.10419051264957863,0,5.68873986801449,-0.4252878870968697,True,None found,0,0.4367776076087423
CCT6A,0.30966792472487803,2.6851777542689383e-31,17,7.553974808237472,-0.2512007077102014,True,None found,0,0.4238671698899512
RBX1,0.2761758838746506,8.682074738802894e-29,15,5.903520373723376,-0.20080108497767846,True,None found,0,0.4104703535498602
HSPD1,0.26023489700529623,8.682074738802893e-29,14,8.491332029033206,-0.22515525050428487,True,None found,0,0.4040939588021185
SRP14,0.25856248124651743,2.6851777542689383e-31,14,7.689089451248381,-0.5032273441809432,True,None found,0,0.40342499249860697
CHMP5,0.2560051442464633,5.7253745325524036e-37,14,5.923149180472309,-0.32571436805018816,True,None found,0,0.40240205769858534
XRCC5,0.2464079379737563,4.07622053027452e-24,13,6.682292371430833,-0.5284540256062122,True,None found,0,0.3985631751895025
WDR26,0.5589526052532097,0.9936149666085956,0,5.48155728070859,0.28460284431399074,False,None found,0,0.22358104210128388
BRIX1,0.32427768223186043,5.5421625475107155e-34,18,5.936166777979151,0.13709239842015464,False,None found,0,0.12971107289274417
RNPS1,0.32380536713811614,5.5421625475107155e-34,18,7.139244363347547,-0.1320521115800215,False,None found,0,0.12952214685524646
RPL10A,0.308953930272364,2.6851777542689383e-31,17,10.720329774131276,0.46401577214973244,False,None found,0,0.1235815721089456
RSL1D1,0.308900714624269,2.6851777542689396e-31,17,7.734574149542524,0.5006309395110522,False,None found,0,0.1235602858497076
RPL7A,0.308900714624269,2.6851777542689383e-31,17,11.325249230492902,0.2289662076872112,False,None found,0,0.1235602858497076
PSMC3,0.3082628001396399,2.6851777542689396e-31,17,7.712458217153396,0.046117766975872776,False,None found,0,0.12330512005585598
NUP214,0.3060051442464633,5.7253745325524036e-37,17,6.7014104362328135,2.3671885519539755,False,None found,0,0.12240205769858532
SBDS,0.3060051442464633,5.7253745325524036e-37,17,6.740387932468353,0.5605151959971533,False,None found,0,0.12240205769858532
YBX1,0.29559895025971317,8.682074738802894e-29,16,9.75560533150036,0.17542124314658913,False,None found,0,0.11823958010388527
PSMB2,0.293620354073254,8.682074738802893e-29,16,6.367545800105339,0.22726676868775542,False,None found,0,0.1174481416293016
HNRNPR,0.2909443488985271,5.5421625475107155e-34,16,7.15623479785027,0.12670349934851455,False,None found,0,0.11637773955941084
WAC,0.2909443488985271,5.5421625475107155e-34,16,5.978882028096418,0.2664035385002519,False,None found,0,0.11637773955941084
TRA2B,0.28933847757979664,5.7253745325524036e-37,16,7.072641779622777,-0.14948082161577503,False,None found,0,0.11573539103191866
PSMC4,0.28933847757979664,5.7253745325524036e-37,16,6.7713574089905615,-0.013454790504343173,False,None found,0,0.11573539103191866
FBL,0.27921806026839213,2.1075736428444023e-26,15,8.614893849605016,0.37435366208442744,False,None found,0,0.11168722410735686
CYC1,0.2776512508227136,8.682074738802893e-29,15,7.651769271417989,0.4587354484376407,False,None found,0,0.11106050032908543
LSM5,0.2772248672049235,8.682074738802893e-29,15,6.882520781889342,0.21841246640049228,False,None found,0,0.1108899468819694
PSMB1,0.27550828801791927,2.6851777542689383e-31,15,8.832795096895001,0.7586730856564419,False,None found,0,0.11020331520716771
ATP6V0C,0.2738762144021778,5.5421625475107155e-34,15,7.036723106005525,0.28361553060717704,False,None found,0,0.10955048576087112
RPL39,0.2651447616420923,4.097123161689526e-24,14,12.009478745888066,0.11791356490282645,False,None found,0,0.10605790465683691
EIF2S3,0.26198963312363066,2.1075736428444023e-26,14,8.740084303078431,1.4960774964170094,False,None found,0,0.10479585324945227
PSMA5,0.26180884615991834,2.1075736428444023e-26,14,7.170926525287385,0.5551838942973077,False,None found,0,0.10472353846396734
ANAPC11,0.2614835532408882,8.682074738802894e-29,14,7.600061565968599,0.2809842891319958,False,None found,0,0.10459342129635528
LSM10,0.26017902111305125,8.682074738802893e-29,14,6.374517881046292,0.9587785308641754,False,None found,0,0.10407160844522051
DPM2,0.25748748700221447,5.5421625475107155e-34,14,5.811471030529836,0.33135275747393944,False,None found,0,0.1029949948008858
SEC61G,0.25738160537680366,5.5421625475107155e-34,14,9.19615947642022,0.390177387303563,False,None found,0,0.10295264215072147
NDUFA2,0.24731501535195138,4.097123161689527e-24,13,6.8376910004285625,0.1315183746414581,False,None found,0,0.09892600614078056
EIF3B,0.24652589929315635,2.1075736428444018e-26,13,7.2540837793194175,0.051433360601003564,False,None found,0,0.09861035971726255
TMX2,0.2454341864037081,2.1075736428444018e-26,13,6.821582672706793,0.2598137073626017,False,None found,0,0.09817367456148324
RPL18A,0.24522216836733107,2.0989184198831428e-26,13,11.24198314969433,0.3429455452326522,False,None found,0,0.09808886734693244
GTF2F2,0.23933847757979665,5.7253745325524036e-37,13,4.45022149589718,-0.08642661035176413,False,None found,0,0.09573539103191867
RPS3,0.23726005784221116,9.244885272808306e-20,12,12.143128072943814,0.27931170603191546,False,None found,0,0.09490402313688447
